Number of topics,Random variable,Coherence score
26.0,3.0,0.46495270311434883
26.0,4.0,0.46603437456958974
26.0,5.0,0.46780151802493875
26.0,6.0,0.4680774271030469
26.0,7.0,0.4570702317258813
26.0,8.0,0.4577081994530831
26.0,9.0,0.45853625902551953
26.0,10.0,0.4421911262515727
27.0,1.0,0.4707628257242669
27.0,2.0,0.4573865128787577
27.0,3.0,0.45034152652047255
27.0,4.0,0.4578871424103622
27.0,5.0,0.4779054429101208
27.0,6.0,0.4478279468051746
27.0,7.0,0.46746338702921075
27.0,8.0,0.4659494790522177
27.0,9.0,0.4538367048759059
27.0,10.0,0.46532894232943933
28.0,1.0,0.46374554707510207
28.0,2.0,0.4495154126943794
28.0,3.0,0.4463541466873061
28.0,4.0,0.46116192104521214
28.0,5.0,0.4616287578866413
28.0,6.0,0.4596160292181657
28.0,7.0,0.44479185372609825
28.0,8.0,0.44186624590663975
28.0,9.0,0.4693330717258614
28.0,10.0,0.4633493835508964
29.0,1.0,0.4409466620695689
29.0,2.0,0.4479100964014288
29.0,3.0,0.44305559723926513
29.0,4.0,0.4502521382958451
29.0,5.0,0.46609603747573125
29.0,6.0,0.4433716118421555
29.0,7.0,0.4588154531747145
29.0,8.0,0.45534334950651667
29.0,9.0,0.42947619299207024
29.0,10.0,0.44892101105211263
30.0,1.0,0.4580133037649035
30.0,2.0,0.44870208197611905
30.0,3.0,0.4605716045816986
30.0,4.0,0.4434469590672661
30.0,5.0,0.4416954313046887
30.0,6.0,0.45141977286358076
30.0,7.0,0.4491421256822189
30.0,8.0,0.45851131664367023
30.0,9.0,0.45246123217992823
30.0,10.0,0.4417080257444112
